loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),
26:55.9,11956,232910.3277,-0.106689453,0.988418579,0.114395142,standing
26:55.9,11957,232910.3377,-0.107818604,0.98765564,0.115127563,standing
26:55.9,11958,232910.3477,-0.108963013,0.987731934,0.113586426,standing
26:55.9,11959,232910.3577,-0.110076904,0.989257813,0.112930298,standing
26:55.9,11960,232910.3677,-0.109771729,0.989822388,0.113342285,standing
26:55.9,11961,232910.3777,-0.111114502,0.989181519,0.114379883,standing
26:55.9,11962,232910.3878,-0.111785889,0.987640381,0.114639282,standing
26:55.9,11963,232910.3978,-0.110244751,0.986068726,0.115615845,standing
26:55.9,11964,232910.4078,-0.109741211,0.985412598,0.115005493,standing
26:56.0,11965,232910.4178,-0.11000061,0.985488892,0.113357544,standing
26:56.0,11966,232910.4278,-0.110916138,0.98526001,0.112976074,standing
26:56.0,11967,232910.4378,-0.110412598,0.985641479,0.113388062,standing
26:56.0,11968,232910.4478,-0.110641479,0.985092163,0.115631104,standing
26:56.0,11969,232910.4578,-0.111404419,0.986816406,0.116577148,standing
26:56.0,11970,232910.4678,-0.111999512,0.988204956,0.116577148,standing
26:56.0,11971,232910.4778,-0.112167358,0.987991333,0.117721558,standing
26:56.0,11972,232910.4878,-0.112945557,0.986785889,0.119232178,standing
26:56.0,11973,232910.4978,-0.112670898,0.985794067,0.117675781,standing
26:56.0,11974,232910.5078,-0.113037109,0.98576355,0.116928101,standing
26:56.1,11975,232910.5179,-0.113601685,0.986251831,0.118011475,standing
26:56.1,11976,232910.5279,-0.114105225,0.986785889,0.117004395,standing
26:56.1,11977,232910.5379,-0.112915039,0.986999512,0.117248535,standing
26:56.1,11978,232910.5479,-0.112716675,0.987258911,0.119003296,standing
26:56.1,11979,232910.5579,-0.111984253,0.986923218,0.117630005,standing
26:56.1,11980,232910.5679,-0.111862183,0.986236572,0.118896484,standing
26:56.1,11981,232910.5779,-0.112319946,0.987030029,0.117828369,standing
26:56.1,11982,232910.5879,-0.111465454,0.98677063,0.117736816,standing
26:56.1,11983,232910.5979,-0.110748291,0.985794067,0.116333008,standing
26:56.1,11984,232910.6079,-0.111160278,0.984390259,0.116699219,standing
26:56.2,11985,232910.6179,-0.110412598,0.984191895,0.117477417,standing
26:56.2,11986,232910.6279,-0.110534668,0.986434937,0.118759155,standing
26:56.2,11987,232910.6379,-0.109954834,0.987609863,0.117095947,standing
26:56.2,11988,232910.648,-0.109069824,0.988510132,0.115585327,standing
26:56.2,11989,232910.658,-0.108581543,0.989257813,0.115600586,standing
26:56.2,11990,232910.668,-0.108551025,0.988632202,0.114898682,standing
26:56.2,11991,232910.678,-0.108032227,0.986755371,0.115097046,standing
26:56.2,11992,232910.688,-0.108474731,0.987075806,0.114700317,standing
26:56.2,11993,232910.698,-0.108169556,0.98928833,0.11555481,standing
26:56.2,11994,232910.708,-0.109237671,0.991210938,0.115356445,standing
26:56.3,11995,232910.718,-0.109634399,0.992172241,0.114471436,standing
26:56.3,11996,232910.728,-0.109375,0.990203857,0.114990234,standing
26:56.3,11997,232910.738,-0.110076904,0.987213135,0.1146698,standing
26:56.3,11998,232910.748,-0.110931396,0.984893799,0.11366272,standing
26:56.3,11999,232910.758,-0.111450195,0.983703613,0.113220215,standing
26:56.3,12000,232910.768,-0.111724854,0.984527588,0.11378479,standing
26:56.3,12001,232910.778,-0.110809326,0.985137939,0.113769531,standing
26:56.3,12002,232910.7881,-0.109313965,0.985397339,0.115158081,standing
26:56.3,12003,232910.7981,-0.109039307,0.98475647,0.113021851,standing
26:56.3,12004,232910.8081,-0.108459473,0.985107422,0.1121521,standing
26:56.4,12005,232910.8181,-0.106246948,0.986297607,0.112701416,standing
26:56.4,12006,232910.8281,-0.106201172,0.98677063,0.111816406,standing
26:56.4,12007,232910.8381,-0.107192993,0.987701416,0.111907959,standing
26:56.4,12008,232910.8481,-0.108276367,0.987319946,0.113021851,standing
26:56.4,12009,232910.8581,-0.110321045,0.98866272,0.112686157,standing
26:56.4,12010,232910.8681,-0.112838745,0.988937378,0.11340332,standing
26:56.4,12011,232910.8781,-0.113601685,0.99017334,0.111984253,standing
26:56.4,12012,232910.8881,-0.1146698,0.990325928,0.1121521,standing
26:56.4,12013,232910.8981,-0.114028931,0.988464355,0.113067627,standing
26:56.4,12014,232910.9081,-0.112823486,0.987716675,0.111053467,standing
26:56.5,12015,232910.9182,-0.111618042,0.988052368,0.112472534,standing
26:56.5,12016,232910.9282,-0.10987854,0.988510132,0.113204956,standing
26:56.5,12017,232910.9382,-0.110534668,0.988296509,0.113769531,standing
26:56.5,12018,232910.9482,-0.108581543,0.986206055,0.113342285,standing
26:56.5,12019,232910.9582,-0.108978271,0.985321045,0.112167358,standing
26:56.5,12020,232910.9682,-0.109863281,0.98487854,0.111038208,standing
26:56.5,12021,232910.9782,-0.110076904,0.984786987,0.109512329,standing
26:56.5,12022,232910.9882,-0.111221313,0.985839844,0.108978271,standing
26:56.5,12023,232910.9982,-0.111160278,0.986343384,0.111206055,standing
26:56.5,12024,232911.0082,-0.111404419,0.986785889,0.111495972,standing
26:56.6,12025,232911.0182,-0.110168457,0.986755371,0.112243652,standing
26:56.6,12026,232911.0282,-0.108932495,0.986373901,0.113342285,standing
26:56.6,12027,232911.0382,-0.10925293,0.987289429,0.113876343,standing
26:56.6,12028,232911.0483,-0.108566284,0.988510132,0.111694336,standing
26:56.6,12029,232911.0583,-0.107452393,0.988098145,0.111572266,standing
26:56.6,12030,232911.0683,-0.10774231,0.989135742,0.111495972,standing
26:56.6,12031,232911.0783,-0.107650757,0.989212036,0.11050415,standing
26:56.6,12032,232911.0883,-0.108810425,0.987960815,0.110977173,standing
26:56.6,12033,232911.0983,-0.109237671,0.986968994,0.112091064,standing
26:56.6,12034,232911.1083,-0.10987854,0.986114502,0.111358643,standing
26:56.7,12035,232911.1183,-0.110916138,0.986343384,0.112930298,standing
26:56.7,12036,232911.1283,-0.111633301,0.986923218,0.112670898,standing
26:56.7,12037,232911.1383,-0.112457275,0.987503052,0.113204956,standing
26:56.7,12038,232911.1483,-0.112960815,0.987945557,0.111709595,standing
26:56.7,12039,232911.1583,-0.112503052,0.987319946,0.112350464,standing
26:56.7,12040,232911.1683,-0.111495972,0.985412598,0.112945557,standing
26:56.7,12041,232911.1783,-0.110626221,0.985092163,0.112426758,standing
26:56.7,12042,232911.1884,-0.109588623,0.985015869,0.112594604,standing
26:56.7,12043,232911.1984,-0.109939575,0.985443115,0.113937378,standing
26:56.7,12044,232911.2084,-0.110183716,0.986343384,0.113876343,standing
