loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
23:39.0,570,232713.4072,0.107788086,1.004806519,0.036453247,walking
23:39.0,571,232713.4172,0.106719971,1.008209229,0.033065796,walking
23:39.0,572,232713.4273,0.104812622,1.007720947,0.027435303,walking
23:39.0,573,232713.4373,0.104141235,1.00630188,0.021362305,walking
23:39.0,574,232713.4473,0.102264404,1.001953125,0.017288208,walking
23:39.0,575,232713.4573,0.098510742,0.997787476,0.015365601,walking
23:39.0,576,232713.4674,0.097702026,0.996826172,0.014526367,walking
23:39.0,577,232713.4774,0.09564209,0.997024536,0.014511108,walking
23:39.0,578,232713.4874,0.097564697,1.000167847,0.017059326,walking
23:39.0,579,232713.4975,0.098266602,1.009460449,0.02142334,walking
23:39.1,580,232713.5075,0.09588623,1.014450073,0.02432251,walking
23:39.1,581,232713.5175,0.08631897,1.017288208,0.01890564,walking
23:39.1,582,232713.5275,0.077316284,1.021881104,0.007507324,walking
23:39.1,583,232713.5376,0.072769165,1.024536133,-0.004547119,walking
23:39.1,584,232713.5476,0.077438354,1.027023315,-0.014358521,walking
23:39.1,585,232713.5576,0.065261841,1.023834229,-0.028289795,walking
23:39.1,586,232713.5677,0.065887451,1.027450562,-0.039276123,walking
23:39.1,587,232713.5777,0.071578979,1.03125,-0.046066284,walking
23:39.1,588,232713.5877,0.075302124,1.032592773,-0.052627563,walking
23:39.1,589,232713.5977,0.078369141,1.030761719,-0.057220459,walking
23:39.2,590,232713.6078,0.077178955,1.028106689,-0.061340332,walking
23:39.2,591,232713.6178,0.077667236,1.02885437,-0.06578064,walking
23:39.2,592,232713.6278,0.076080322,1.029296875,-0.073272705,walking
23:39.2,593,232713.6378,0.073883057,1.024902344,-0.09538269,walking
23:39.2,594,232713.6479,0.079177856,1.022338867,-0.105545044,walking
23:39.2,595,232713.6579,0.075698853,1.009078979,-0.10105896,walking
23:39.2,596,232713.6679,0.077072144,0.992980957,-0.114639282,walking
23:39.2,597,232713.678,0.092712402,0.987503052,-0.135818481,walking
23:39.2,598,232713.688,0.103973389,0.98626709,-0.166015625,walking
23:39.2,599,232713.698,0.135452271,0.992462158,-0.169555664,walking
23:39.3,600,232713.708,0.17616272,0.999038696,-0.161468506,walking
23:39.3,601,232713.7181,0.186264038,1.018249512,-0.207763672,walking
23:39.3,602,232713.7281,0.221633911,1.047180176,-0.253143311,walking
23:39.3,603,232713.7381,0.257125854,1.078903198,-0.259521484,walking
23:39.3,604,232713.7482,0.291366577,1.108978271,-0.2550354,walking
23:39.3,605,232713.7582,0.281265259,1.086746216,-0.216201782,walking
23:39.3,606,232713.7682,0.251968384,1.084762573,-0.154205322,walking
23:39.3,607,232713.7782,0.192504883,1.098770142,-0.093658447,walking
23:39.3,608,232713.7883,0.131530762,1.097396851,-0.063140869,walking
23:39.3,609,232713.7983,0.075531006,1.079681396,-0.023590088,walking
23:39.4,610,232713.8083,0.064178467,1.056686401,-0.048217773,walking
23:39.4,611,232713.8184,0.067581177,0.989379883,-0.154968262,walking
23:39.4,612,232713.8284,0.016815186,0.880905151,-0.190826416,walking
23:39.4,613,232713.8384,-0.003738403,0.848175049,-0.194076538,walking
23:39.4,614,232713.8484,-0.011245728,0.846618652,-0.232528687,walking
23:39.4,615,232713.8585,0.048721313,0.848678589,-0.21913147,walking
23:39.4,616,232713.8685,0.096374512,0.841873169,-0.208770752,walking
23:39.4,617,232713.8785,0.135314941,0.836929321,-0.222732544,walking
23:39.4,618,232713.8885,0.186355591,0.849838257,-0.241821289,walking
23:39.4,619,232713.8986,0.242507935,0.875091553,-0.255889893,walking
23:39.5,620,232713.9086,0.291107178,0.890930176,-0.265899658,walking
23:39.5,621,232713.9186,0.322860718,0.897186279,-0.270462036,walking
23:39.5,622,232713.9287,0.327209473,0.902084351,-0.27746582,walking
23:39.5,623,232713.9387,0.317214966,0.896316528,-0.29460144,walking
23:39.5,624,232713.9487,0.30166626,0.884887695,-0.309295654,walking
23:39.5,625,232713.9587,0.287368774,0.872833252,-0.311767578,walking
23:39.5,626,232713.9688,0.282546997,0.863693237,-0.318634033,walking
23:39.5,627,232713.9788,0.273773193,0.854232788,-0.32371521,walking
23:39.5,628,232713.9888,0.262161255,0.852722168,-0.332901001,walking
23:39.5,629,232713.9989,0.269241333,0.850509644,-0.338378906,walking
23:39.6,630,232714.0089,0.277481079,0.856491089,-0.33190918,walking
23:39.6,631,232714.0189,0.278335571,0.871948242,-0.330978394,walking
23:39.6,632,232714.0289,0.273406982,0.882858276,-0.341903687,walking
23:39.6,633,232714.039,0.270080566,0.895935059,-0.344482422,walking
23:39.6,634,232714.049,0.270507813,0.900588989,-0.345413208,walking
23:39.6,635,232714.059,0.272720337,0.899291992,-0.355880737,walking
23:39.6,636,232714.069,0.273956299,0.895858765,-0.365066528,walking
23:39.6,637,232714.0791,0.2762146,0.895996094,-0.366470337,walking
23:39.6,638,232714.0891,0.274383545,0.893341064,-0.36555481,walking
23:39.6,639,232714.0991,0.27746582,0.887786865,-0.366699219,walking
23:39.7,640,232714.1092,0.277160645,0.879669189,-0.366088867,walking
23:39.7,641,232714.1192,0.279693604,0.869934082,-0.358474731,walking
23:39.7,642,232714.1292,0.301467896,0.860366821,-0.322479248,walking
23:39.7,643,232714.1392,0.305038452,0.852279663,-0.31539917,walking
23:39.7,644,232714.1493,0.313354492,0.841323853,-0.303985596,walking
23:39.7,645,232714.1593,0.325927734,0.833465576,-0.303985596,walking
23:39.7,646,232714.1693,0.325363159,0.829742432,-0.324752808,walking
23:39.7,647,232714.1794,0.317764282,0.833526611,-0.333404541,walking
23:39.7,648,232714.1894,0.301574707,0.83303833,-0.342208862,walking
23:39.7,649,232714.1994,0.274887085,0.829376221,-0.352706909,walking
