loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
18:13.0,688,232387.4176,0.015365601,0.999710083,0.09387207,standing
18:13.0,689,232387.4276,0.016143799,1.001296997,0.096054077,standing
18:13.0,690,232387.4377,0.015045166,1.007446289,0.092041016,standing
18:13.0,691,232387.4477,0.009658813,1.011169434,0.082962036,standing
18:13.0,692,232387.4577,0.001342773,1.012268066,0.067687988,standing
18:13.0,693,232387.4677,-0.008453369,1.014205933,0.053939819,standing
18:13.0,694,232387.4778,-0.018859863,1.014129639,0.046127319,standing
18:13.0,695,232387.4878,-0.023529053,1.014572144,0.04069519,standing
18:13.0,696,232387.4978,-0.017608643,1.018692017,0.041320801,standing
18:13.0,697,232387.5078,-0.002990723,1.026550293,0.045257568,standing
18:13.1,698,232387.5179,0.016311646,1.031433105,0.048950195,standing
18:13.1,699,232387.5279,0.036499023,1.02897644,0.052703857,standing
18:13.1,700,232387.5379,0.05406189,1.019683838,0.052764893,standing
18:13.1,701,232387.548,0.068374634,1.009429932,0.050125122,standing
18:13.1,702,232387.558,0.080215454,0.999954224,0.052246094,standing
18:13.1,703,232387.568,0.090682983,0.992126465,0.061035156,standing
18:13.1,704,232387.578,0.097427368,0.986206055,0.069610596,standing
18:13.1,705,232387.5881,0.09992981,0.979782104,0.073257446,standing
18:13.1,706,232387.5981,0.098693848,0.97315979,0.073822021,standing
18:13.2,707,232387.6081,0.095901489,0.970016479,0.067337036,standing
18:13.2,708,232387.6181,0.088699341,0.970031738,0.062316895,standing
18:13.2,709,232387.6282,0.07963562,0.975357056,0.060592651,standing
18:13.2,710,232387.6382,0.068572998,0.985351563,0.058517456,standing
18:13.2,711,232387.6482,0.056945801,0.996826172,0.057418823,standing
18:13.2,712,232387.6583,0.044464111,1.002288818,0.054122925,standing
18:13.2,713,232387.6683,0.0337677,1.002838135,0.053527832,standing
18:13.2,714,232387.6783,0.024765015,1.001068115,0.054077148,standing
18:13.2,715,232387.6883,0.020904541,1.001083374,0.054595947,standing
18:13.2,716,232387.6984,0.020401001,1.004989624,0.056991577,standing
18:13.2,717,232387.7084,0.021713257,1.01008606,0.059890747,standing
18:13.3,718,232387.7184,0.024612427,1.013534546,0.06137085,standing
18:13.3,719,232387.7284,0.026977539,1.01550293,0.062133789,standing
18:13.3,720,232387.7385,0.02835083,1.013504028,0.063034058,standing
18:13.3,721,232387.7485,0.030227661,1.011032104,0.061172485,standing
18:13.3,722,232387.7585,0.034286499,1.006881714,0.059509277,standing
18:13.3,723,232387.7686,0.03868103,1.003982544,0.063522339,standing
18:13.3,724,232387.7786,0.043273926,1.002670288,0.065765381,standing
18:13.3,725,232387.7886,0.042327881,1.000274658,0.067245483,standing
18:13.3,726,232387.7986,0.039916992,0.995483398,0.066589355,standing
18:13.4,727,232387.8087,0.037811279,0.991348267,0.067016602,standing
18:13.4,728,232387.8187,0.034072876,0.989761353,0.066635132,standing
18:13.4,729,232387.8287,0.031188965,0.991455078,0.065429688,standing
18:13.4,730,232387.8388,0.030593872,0.994094849,0.064758301,standing
18:13.4,731,232387.8488,0.028610229,0.995895386,0.062606812,standing
18:13.4,732,232387.8588,0.024383545,0.995376587,0.058288574,standing
18:13.4,733,232387.8688,0.024124146,0.996704102,0.053192139,standing
18:13.4,734,232387.8789,0.02293396,0.996704102,0.052658081,standing
18:13.4,735,232387.8889,0.023239136,0.995101929,0.053390503,standing
18:13.4,736,232387.8989,0.026565552,0.992584229,0.058532715,standing
18:13.5,737,232387.9089,0.030014038,0.992340088,0.063293457,standing
18:13.5,738,232387.919,0.03338623,0.996444702,0.065505981,standing
18:13.5,739,232387.929,0.035415649,1.002746582,0.062026978,standing
18:13.5,740,232387.939,0.035415649,1.005706787,0.056259155,standing
18:13.5,741,232387.9491,0.0362854,1.003158569,0.051528931,standing
18:13.5,742,232387.9591,0.038711548,1.000274658,0.047439575,standing
18:13.5,743,232387.9691,0.041290283,0.99911499,0.047271729,standing
18:13.5,744,232387.9791,0.044876099,1.000534058,0.048690796,standing
18:13.5,745,232387.9892,0.045333862,1.003585815,0.049209595,standing
18:13.5,746,232387.9992,0.044052124,1.00302124,0.048782349,standing
18:13.6,747,232388.0092,0.041442871,1.003936768,0.04586792,standing
18:13.6,748,232388.0192,0.039474487,1.004821777,0.044387817,standing
18:13.6,749,232388.0293,0.038696289,1.00553894,0.042037964,standing
18:13.6,750,232388.0393,0.039718628,1.002456665,0.04045105,standing
18:13.6,751,232388.0493,0.041854858,0.996566772,0.043167114,standing
18:13.6,752,232388.0594,0.045303345,0.995178223,0.048477173,standing
18:13.6,753,232388.0694,0.046417236,0.997680664,0.053634644,standing
18:13.6,754,232388.0794,0.046539307,0.996780396,0.059463501,standing
18:13.6,755,232388.0894,0.046005249,0.992507935,0.063171387,standing
18:13.6,756,232388.0995,0.045669556,0.986175537,0.066070557,standing
18:13.7,757,232388.1095,0.044799805,0.983917236,0.068115234,standing
18:13.7,758,232388.1195,0.041549683,0.988540649,0.06652832,standing
18:13.7,759,232388.1295,0.037155151,0.996810913,0.06211853,standing
18:13.7,760,232388.1396,0.031799316,1.002700806,0.055343628,standing
18:13.7,761,232388.1496,0.027145386,1.004547119,0.051467896,standing
18:13.7,762,232388.1596,0.023880005,1.002334595,0.052230835,standing
18:13.7,763,232388.1697,0.025848389,0.999069214,0.054229736,standing
18:13.7,764,232388.1797,0.028671265,0.997055054,0.056869507,standing
18:13.7,765,232388.1897,0.032211304,0.996002197,0.059265137,standing
18:13.7,766,232388.1997,0.034255981,0.994720459,0.062576294,standing
18:13.8,767,232388.2098,0.036346436,0.993728638,0.063446045,standing
18:13.8,768,232388.2198,0.035507202,0.995788574,0.062301636,standing
18:13.8,769,232388.2298,0.03427124,0.999862671,0.059585571,standing
18:13.8,770,232388.2398,0.029693604,1.003845215,0.055557251,standing
18:13.8,771,232388.2499,0.027770996,1.005264282,0.050018311,standing
18:13.8,772,232388.2599,0.025680542,1.004272461,0.050186157,standing
18:13.8,773,232388.2699,0.028305054,1.00163269,0.050567627,standing
18:13.8,774,232388.28,0.033477783,0.999633789,0.0521698,standing
18:13.8,775,232388.29,0.038864136,0.998397827,0.057281494,standing
18:13.8,776,232388.3,0.041992188,0.997558594,0.057693481,standing
18:13.9,777,232388.31,0.043869019,0.997650146,0.055328369,standing
18:13.9,778,232388.3201,0.044265747,0.998748779,0.054428101,standing
18:13.9,779,232388.3301,0.044281006,1.000473022,0.052993774,standing
18:13.9,780,232388.3401,0.042709351,1.000350952,0.050964355,standing
18:13.9,781,232388.3501,0.041534424,0.999771118,0.048736572,standing
18:13.9,782,232388.3602,0.038909912,0.997024536,0.050628662,standing
18:13.9,783,232388.3702,0.0362854,0.994934082,0.053421021,standing
18:13.9,784,232388.3802,0.035202026,0.99546814,0.052871704,standing
18:13.9,785,232388.3903,0.035247803,0.9974823,0.051559448,standing
18:13.9,786,232388.4003,0.03604126,0.999740601,0.050582886,standing
18:14.0,787,232388.4103,0.040817261,1.002441406,0.050476074,standing
18:14.0,788,232388.4203,0.04258728,1.002563477,0.053833008,standing
18:14.0,789,232388.4304,0.043212891,1.001480103,0.056091309,standing
18:14.0,790,232388.4404,0.042114258,0.999511719,0.054489136,standing
18:14.0,791,232388.4504,0.038391113,0.998474121,0.054824829,standing
18:14.0,792,232388.4604,0.033752441,0.998947144,0.053253174,standing
18:14.0,793,232388.4705,0.030761719,0.999893188,0.052978516,standing
18:14.0,794,232388.4805,0.027984619,0.999847412,0.052124023,standing
18:14.0,795,232388.4905,0.027084351,0.99798584,0.054275513,standing
18:14.0,796,232388.5006,0.0284729,0.997268677,0.056747437,standing
18:14.1,797,232388.5106,0.031158447,0.99508667,0.056945801,standing
18:14.1,798,232388.5206,0.034393311,0.996429443,0.057540894,standing
18:14.1,799,232388.5306,0.037231445,0.996078491,0.05758667,standing
18:14.1,800,232388.5407,0.038452148,0.996200562,0.056503296,standing
18:14.1,801,232388.5507,0.040161133,0.999053955,0.054763794,standing
18:14.1,802,232388.5607,0.039840698,1.001815796,0.056396484,standing
18:14.1,803,232388.5708,0.039993286,1.0025177,0.056518555,standing
18:14.1,804,232388.5808,0.038116455,1.001068115,0.057357788,standing
18:14.1,805,232388.5908,0.035247803,0.999389648,0.060577393,standing
18:14.1,806,232388.6008,0.033035278,0.997528076,0.058959961,standing
18:14.2,807,232388.6109,0.031906128,0.995834351,0.05796814,standing
18:14.2,808,232388.6209,0.032714844,0.995391846,0.056671143,standing
18:14.2,809,232388.6309,0.033508301,0.996398926,0.056106567,standing
18:14.2,810,232388.6409,0.034698486,0.998138428,0.05871582,standing
18:14.2,811,232388.651,0.033966064,1.000427246,0.059646606,standing
18:14.2,812,232388.661,0.033035278,1.000549316,0.060958862,standing
18:14.2,813,232388.671,0.03125,0.998031616,0.060562134,standing
18:14.2,814,232388.6811,0.03112793,0.995391846,0.06072998,standing
18:14.2,815,232388.6911,0.031326294,0.994903564,0.060089111,standing
18:14.2,816,232388.7011,0.031768799,0.996490479,0.059494019,standing
18:14.3,817,232388.7111,0.032424927,0.997360229,0.059265137,standing
18:14.3,818,232388.7212,0.033065796,0.99848938,0.060089111,standing
18:14.3,819,232388.7312,0.033615112,1.000534058,0.060317993,standing
18:14.3,820,232388.7412,0.032455444,1.001541138,0.059631348,standing
18:14.3,821,232388.7512,0.031585693,1.004196167,0.058654785,standing
18:14.3,822,232388.7613,0.031158447,1.002960205,0.060943604,standing
18:14.3,823,232388.7713,0.033157349,1.000305176,0.061248779,standing
18:14.3,824,232388.7813,0.033981323,0.997848511,0.062286377,standing
18:14.3,825,232388.7914,0.033950806,0.994934082,0.063720703,standing
18:14.3,826,232388.8014,0.033569336,0.993453979,0.062271118,standing
18:14.4,827,232388.8114,0.031509399,0.99420166,0.059341431,standing
18:14.4,828,232388.8214,0.030319214,0.997558594,0.056747437,standing
18:14.4,829,232388.8315,0.030334473,1.000961304,0.055725098,standing
18:14.4,830,232388.8415,0.032409668,1.003433228,0.055114746,standing
18:14.4,831,232388.8515,0.033599854,1.00302124,0.055252075,standing
18:14.4,832,232388.8615,0.035903931,1.000747681,0.054779053,standing
18:14.4,833,232388.8716,0.036682129,0.997436523,0.05380249,standing
18:14.4,834,232388.8816,0.038742065,0.997467041,0.052688599,standing
18:14.4,835,232388.8916,0.038665771,0.998519897,0.054336548,standing
18:14.4,836,232388.9017,0.039581299,0.999389648,0.056564331,standing
18:14.5,837,232388.9117,0.040603638,0.998855591,0.059402466,standing
18:14.5,838,232388.9217,0.041061401,0.99798584,0.060897827,standing
18:14.5,839,232388.9317,0.039916992,0.998947144,0.05796814,standing
18:14.5,840,232388.9418,0.038848877,0.999023438,0.056335449,standing
18:14.5,841,232388.9518,0.038360596,0.997924805,0.054611206,standing
18:14.5,842,232388.9618,0.040756226,0.997421265,0.052032471,standing
18:14.5,843,232388.9718,0.043334961,0.998474121,0.052246094,standing
18:14.5,844,232388.9819,0.04498291,0.999053955,0.051376343,standing
18:14.5,845,232388.9919,0.046661377,0.997406006,0.051071167,standing
18:14.5,846,232389.0019,0.048797607,0.994186401,0.053268433,standing
18:14.6,847,232389.012,0.051208496,0.991043091,0.056518555,standing
18:14.6,848,232389.022,0.050354004,0.989959717,0.058609009,standing
18:14.6,849,232389.032,0.049728394,0.991760254,0.058395386,standing
18:14.6,850,232389.042,0.047134399,0.994247437,0.058563232,standing
18:14.6,851,232389.0521,0.043655396,0.999755859,0.055526733,standing
18:14.6,852,232389.0621,0.040603638,1.004577637,0.051956177,standing
18:14.6,853,232389.0721,0.038497925,1.005233765,0.049514771,standing
18:14.6,854,232389.0821,0.039337158,1.004470825,0.048370361,standing
18:14.6,855,232389.0922,0.041351318,1.000854492,0.047805786,standing
18:14.6,856,232389.1022,0.042694092,0.998397827,0.050598145,standing
18:14.7,857,232389.1122,0.044448853,0.996643066,0.051422119,standing
18:14.7,858,232389.1223,0.045700073,0.995742798,0.051651001,standing
18:14.7,859,232389.1323,0.045379639,0.996582031,0.052932739,standing
18:14.7,860,232389.1423,0.045059204,0.996047974,0.055236816,standing
18:14.7,861,232389.1523,0.04347229,0.994522095,0.055664063,standing
18:14.7,862,232389.1624,0.041488647,0.995254517,0.054168701,standing
18:14.7,863,232389.1724,0.041625977,0.997299194,0.053405762,standing
18:14.7,864,232389.1824,0.040557861,0.998001099,0.053604126,standing
18:14.7,865,232389.1925,0.04006958,0.998001099,0.053512573,standing
18:14.7,866,232389.2025,0.039520264,0.998901367,0.054428101,standing
18:14.8,867,232389.2125,0.039901733,0.997589111,0.056396484,standing
18:14.8,868,232389.2225,0.039962769,0.995605469,0.057434082,standing
18:14.8,869,232389.2326,0.040756226,0.995056152,0.058029175,standing
18:14.8,870,232389.2426,0.042922974,0.994400024,0.061203003,standing
18:14.8,871,232389.2526,0.043273926,0.995620728,0.061340332,standing
18:14.8,872,232389.2626,0.040924072,0.997299194,0.05921936,standing
18:14.8,873,232389.2727,0.040420532,0.997421265,0.057937622,standing
18:14.8,874,232389.2827,0.039596558,0.996917725,0.058181763,standing
18:14.8,875,232389.2927,0.037582397,0.996566772,0.055969238,standing
18:14.8,876,232389.3028,0.037322998,0.996749878,0.054946899,standing
18:14.9,877,232389.3128,0.038909912,0.995605469,0.05519104,standing
18:14.9,878,232389.3228,0.041381836,0.993057251,0.055862427,standing
18:14.9,879,232389.3328,0.042602539,0.991897583,0.058792114,standing
18:14.9,880,232389.3429,0.044250488,0.992980957,0.059341431,standing
18:14.9,881,232389.3529,0.045288086,0.997177124,0.060379028,standing
18:14.9,882,232389.3629,0.04637146,1.000305176,0.059265137,standing
18:14.9,883,232389.3729,0.046737671,1.002182007,0.056472778,standing
18:14.9,884,232389.383,0.044174194,1.001190186,0.054031372,standing
18:14.9,885,232389.393,0.045059204,0.998687744,0.054840088,standing
18:14.9,886,232389.403,0.044433594,0.995819092,0.058914185,standing
18:15.0,887,232389.4131,0.043167114,0.994552612,0.059188843,standing
18:15.0,888,232389.4231,0.040359497,0.995010376,0.059738159,standing
18:15.0,889,232389.4331,0.038513184,0.996292114,0.058837891,standing
18:15.0,890,232389.4431,0.036209106,0.997406006,0.059509277,standing
18:15.0,891,232389.4532,0.034057617,0.998199463,0.060241699,standing
18:15.0,892,232389.4632,0.033004761,0.997192383,0.06036377,standing
18:15.0,893,232389.4732,0.034820557,0.996231079,0.061355591,standing
18:15.0,894,232389.4832,0.035003662,0.994735718,0.062744141,standing
18:15.0,895,232389.4933,0.036758423,0.993011475,0.063659668,standing
18:15.0,896,232389.5033,0.038314819,0.99105835,0.062805176,standing
18:15.1,897,232389.5133,0.039962769,0.990829468,0.061309814,standing
18:15.1,898,232389.5234,0.042175293,0.990142822,0.065307617,standing
18:15.1,899,232389.5334,0.041946411,0.990707397,0.065917969,standing
18:15.1,900,232389.5434,0.040008545,0.995498657,0.066345215,standing
18:15.1,901,232389.5534,0.037628174,0.999862671,0.064056396,standing
18:15.1,902,232389.5635,0.035949707,0.999481201,0.062606812,standing
18:15.1,903,232389.5735,0.036941528,0.997650146,0.065444946,standing
18:15.1,904,232389.5835,0.037948608,0.993133545,0.065643311,standing
18:15.1,905,232389.5935,0.040496826,0.992675781,0.066757202,standing
18:15.1,906,232389.6036,0.0493927,0.992324829,0.073898315,standing
18:15.2,907,232389.6136,0.059799194,0.991027832,0.080337524,standing
18:15.2,908,232389.6236,0.070068359,0.98828125,0.086853027,standing
18:15.2,909,232389.6337,0.073287964,0.988510132,0.08795166,standing
18:15.2,910,232389.6437,0.074615479,0.987579346,0.085021973,standing
18:15.2,911,232389.6537,0.075164795,0.984558105,0.085067749,standing
18:15.2,912,232389.6637,0.07170105,0.98374939,0.085205078,standing
18:15.2,913,232389.6738,0.063568115,0.987442017,0.08631897,standing
18:15.2,914,232389.6838,0.056854248,0.991149902,0.083892822,standing
18:15.2,915,232389.6938,0.054092407,0.992202759,0.080917358,standing
18:15.2,916,232389.7038,0.052688599,0.995056152,0.076583862,standing
18:15.3,917,232389.7139,0.053329468,0.999481201,0.068191528,standing
18:15.3,918,232389.7239,0.053787231,1.006973267,0.061538696,standing
18:15.3,919,232389.7339,0.053665161,1.016525269,0.056533813,standing
18:15.3,920,232389.744,0.05291748,1.023101807,0.048995972,standing
18:15.3,921,232389.754,0.049072266,1.026977539,0.040771484,standing
18:15.3,922,232389.764,0.042663574,1.031585693,0.032608032,standing
18:15.3,923,232389.774,0.035644531,1.038345337,0.022293091,standing
18:15.3,924,232389.7841,0.030197144,1.042358398,0.014968872,standing
18:15.3,925,232389.7941,0.027053833,1.040878296,0.008407593,standing
18:15.3,926,232389.8041,0.027770996,1.035903931,0.004699707,standing
18:15.4,927,232389.8141,0.032699585,1.031265259,0.004104614,standing
18:15.4,928,232389.8242,0.041488647,1.030593872,0.005722046,standing
18:15.4,929,232389.8342,0.049255371,1.031005859,0.004776001,standing
18:15.4,930,232389.8442,0.054199219,1.034576416,-0.000610352,standing
18:15.4,931,232389.8543,0.054763794,1.042373657,-0.010620117,standing
18:15.4,932,232389.8643,0.051727295,1.053863525,-0.02772522,standing
18:15.4,933,232389.8743,0.04359436,1.062271118,-0.046051025,standing
18:15.4,934,232389.8843,0.038269043,1.067398071,-0.063369751,standing
18:15.4,935,232389.8944,0.036254883,1.062072754,-0.083847046,standing
18:15.4,936,232389.9044,0.034072876,1.046005249,-0.099700928,standing
