loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
19:29.7,435,232464.1828,0.647247314,0.672424316,-0.271469116,walking
19:29.7,436,232464.1928,0.595840454,0.651977539,-0.17326355,walking
19:29.7,437,232464.2028,0.557052612,0.634780884,-0.177749634,walking
19:29.8,438,232464.2129,0.49369812,0.660568237,-0.208343506,walking
19:29.8,439,232464.2229,0.402038574,0.646255493,-0.178421021,walking
19:29.8,440,232464.2329,0.347549438,0.649963379,-0.166091919,walking
19:29.8,441,232464.2429,0.333786011,0.659347534,-0.155441284,walking
19:29.8,442,232464.253,0.334472656,0.650268555,-0.132980347,walking
19:29.8,443,232464.263,0.328094482,0.637832642,-0.123535156,walking
19:29.8,444,232464.273,0.30329895,0.630966187,-0.117782593,walking
19:29.8,445,232464.283,0.270996094,0.597793579,-0.087860107,walking
19:29.8,446,232464.2931,0.235961914,0.545516968,-0.09286499,walking
19:29.8,447,232464.3031,0.208282471,0.49055481,-0.101745605,walking
19:29.9,448,232464.3131,0.184112549,0.444076538,-0.105560303,walking
19:29.9,449,232464.3232,0.165664673,0.420684814,-0.104385376,walking
19:29.9,450,232464.3332,0.163391113,0.40713501,-0.105834961,walking
19:29.9,451,232464.3432,0.179641724,0.39755249,-0.113616943,walking
19:29.9,452,232464.3532,0.197921753,0.405227661,-0.157455444,walking
19:29.9,453,232464.3633,0.239151001,0.444549561,-0.20413208,walking
19:29.9,454,232464.3733,0.310256958,0.517288208,-0.286865234,walking
19:29.9,455,232464.3833,0.396621704,0.61819458,-0.381439209,walking
19:29.9,456,232464.3934,0.480239868,0.740844727,-0.45413208,walking
19:29.9,457,232464.4034,0.580505371,0.864227295,-0.529418945,walking
19:30.0,458,232464.4134,0.701095581,0.967559814,-0.629837036,walking
19:30.0,459,232464.4234,0.801818848,1.032333374,-0.751419067,walking
19:30.0,460,232464.4335,0.849273682,1.032302856,-0.825500488,walking
19:30.0,461,232464.4435,0.857513428,1.01133728,-0.802368164,walking
19:30.0,462,232464.4535,0.869247437,0.973526001,-0.716964722,walking
19:30.0,463,232464.4635,0.878616333,0.9243927,-0.584457397,walking
19:30.0,464,232464.4736,0.868988037,0.878082275,-0.424804688,walking
19:30.0,465,232464.4836,0.821472168,0.806762695,-0.322036743,walking
19:30.0,466,232464.4936,0.768692017,0.747589111,-0.325012207,walking
19:30.0,467,232464.5037,0.729278564,0.6771698,-0.40776062,walking
19:30.1,468,232464.5137,0.697631836,0.564208984,-0.508911133,walking
19:30.1,469,232464.5237,0.692626953,0.453323364,-0.62071228,walking
19:30.1,470,232464.5337,0.721115112,0.411651611,-0.691253662,walking
19:30.1,471,232464.5438,0.750015259,0.477645874,-0.697036743,walking
19:30.1,472,232464.5538,0.773483276,0.668441772,-0.639907837,walking
19:30.1,473,232464.5638,0.828964233,0.918014526,-0.541061401,walking
19:30.1,474,232464.5738,0.849960327,1.188064575,-0.38734436,walking
