loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
20:43.0,736,232537.4179,-0.273498535,1.064331055,0.043304443,standing
20:43.0,737,232537.4279,-0.277923584,1.03793335,0.102798462,standing
20:43.0,738,232537.438,-0.290008545,1.002609253,0.132751465,standing
20:43.0,739,232537.448,-0.301223755,0.973373413,0.131332397,standing
20:43.0,740,232537.458,-0.310531616,0.957366943,0.119796753,standing
20:43.0,741,232537.468,-0.304046631,0.949798584,0.116516113,standing
20:43.0,742,232537.4781,-0.306732178,0.941146851,0.129821777,standing
20:43.0,743,232537.4881,-0.313980103,0.938079834,0.140670776,standing
20:43.0,744,232537.4981,-0.311721802,0.946411133,0.139419556,standing
20:43.0,745,232537.5081,-0.301925659,0.951644897,0.141052246,standing
20:43.1,746,232537.5182,-0.28237915,0.945465088,0.154571533,standing
20:43.1,747,232537.5282,-0.258270264,0.944992065,0.168243408,standing
20:43.1,748,232537.5382,-0.234100342,0.949432373,0.178955078,standing
20:43.1,749,232537.5483,-0.210845947,0.962081909,0.188369751,standing
20:43.1,750,232537.5583,-0.191696167,0.97227478,0.190246582,standing
20:43.1,751,232537.5683,-0.180435181,0.974319458,0.193588257,standing
20:43.1,752,232537.5783,-0.174789429,0.966079712,0.19519043,standing
20:43.1,753,232537.5884,-0.180358887,0.953369141,0.186843872,standing
20:43.1,754,232537.5984,-0.199630737,0.941757202,0.169662476,standing
20:43.1,755,232537.6084,-0.222930908,0.930236816,0.146362305,standing
20:43.2,756,232537.6185,-0.245651245,0.922836304,0.121368408,standing
20:43.2,757,232537.6285,-0.272750854,0.927108765,0.096099854,standing
20:43.2,758,232537.6385,-0.301223755,0.941268921,0.072662354,standing
20:43.2,759,232537.6485,-0.321548462,0.949783325,0.053100586,standing
20:43.2,760,232537.6586,-0.322525024,0.940979004,0.043395996,standing
20:43.2,761,232537.6686,-0.306045532,0.926300049,0.042510986,standing
20:43.2,762,232537.6786,-0.285766602,0.917785645,0.041610718,standing
20:43.2,763,232537.6886,-0.268920898,0.924041748,0.042297363,standing
20:43.2,764,232537.6987,-0.253112793,0.944519043,0.045455933,standing
20:43.2,765,232537.7087,-0.237167358,0.967514038,0.047607422,standing
20:43.3,766,232537.7187,-0.221694946,0.985397339,0.045791626,standing
20:43.3,767,232537.7288,-0.204833984,0.995330811,0.042251587,standing
20:43.3,768,232537.7388,-0.188949585,0.998260498,0.038467407,standing
20:43.3,769,232537.7488,-0.17175293,0.992767334,0.042602539,standing
20:43.3,770,232537.7588,-0.153610229,0.985733032,0.047180176,standing
20:43.3,771,232537.7689,-0.139862061,0.981933594,0.050506592,standing
20:43.3,772,232537.7789,-0.130096436,0.979904175,0.055892944,standing
20:43.3,773,232537.7889,-0.128753662,0.982788086,0.059188843,standing
20:43.3,774,232537.799,-0.136260986,0.987854004,0.059249878,standing
20:43.3,775,232537.809,-0.152404785,0.994934082,0.059249878,standing
20:43.4,776,232537.819,-0.172668457,0.999099731,0.05645752,standing
20:43.4,777,232537.829,-0.195770264,0.998550415,0.053359985,standing
20:43.4,778,232537.8391,-0.22052002,0.997070313,0.053161621,standing
20:43.4,779,232537.8491,-0.247161865,0.9949646,0.051651001,standing
20:43.4,780,232537.8591,-0.271865845,0.992782593,0.049163818,standing
20:43.4,781,232537.8691,-0.294387817,0.988433838,0.044296265,standing
20:43.4,782,232537.8792,-0.310714722,0.981323242,0.041015625,standing
20:43.4,783,232537.8892,-0.31628418,0.971710205,0.039733887,standing
20:43.4,784,232537.8992,-0.308441162,0.96395874,0.044509888,standing
20:43.4,785,232537.9093,-0.293243408,0.964172363,0.055099487,standing
20:43.5,786,232537.9193,-0.276885986,0.968063354,0.062240601,standing
20:43.5,787,232537.9293,-0.258163452,0.96774292,0.067337036,standing
20:43.5,788,232537.9393,-0.239440918,0.963150024,0.073226929,standing
20:43.5,789,232537.9494,-0.224975586,0.960388184,0.083389282,standing
20:43.5,790,232537.9594,-0.214508057,0.957733154,0.094558716,standing
20:43.5,791,232537.9694,-0.206375122,0.955383301,0.098983765,standing
20:43.5,792,232537.9794,-0.202423096,0.956954956,0.09727478,standing
20:43.5,793,232537.9895,-0.199188232,0.959884644,0.094726563,standing
20:43.5,794,232537.9995,-0.194549561,0.962036133,0.089859009,standing
20:43.5,795,232538.0095,-0.186553955,0.958847046,0.084777832,standing
20:43.6,796,232538.0196,-0.176452637,0.954879761,0.079666138,standing
20:43.6,797,232538.0296,-0.168838501,0.958816528,0.073516846,standing
20:43.6,798,232538.0396,-0.165496826,0.965698242,0.068130493,standing
20:43.6,799,232538.0496,-0.167861938,0.974487305,0.065704346,standing
20:43.6,800,232538.0597,-0.17666626,0.983886719,0.061462402,standing
20:43.6,801,232538.0697,-0.18939209,0.986557007,0.056091309,standing
20:43.6,802,232538.0797,-0.198410034,0.981338501,0.053344727,standing
20:43.6,803,232538.0898,-0.207046509,0.975036621,0.053649902,standing
20:43.6,804,232538.0998,-0.215881348,0.971633911,0.057495117,standing
20:43.6,805,232538.1098,-0.225372314,0.971954346,0.06149292,standing
20:43.7,806,232538.1198,-0.234527588,0.974227905,0.062973022,standing
20:43.7,807,232538.1299,-0.24156189,0.976257324,0.064224243,standing
20:43.7,808,232538.1399,-0.248428345,0.976501465,0.064407349,standing
20:43.7,809,232538.1499,-0.250289917,0.976638794,0.062713623,standing
20:43.7,810,232538.1599,-0.246032715,0.976516724,0.061386108,standing
20:43.7,811,232538.17,-0.238143921,0.979187012,0.061126709,standing
20:43.7,812,232538.18,-0.226791382,0.983230591,0.063522339,standing
20:43.7,813,232538.19,-0.217025757,0.985931396,0.064605713,standing
20:43.7,814,232538.2001,-0.209075928,0.985946655,0.067306519,standing
20:43.7,815,232538.2101,-0.201751709,0.982284546,0.06993103,standing
20:43.8,816,232538.2201,-0.200531006,0.980194092,0.073165894,standing
20:43.8,817,232538.2301,-0.203552246,0.977416992,0.074813843,standing
