loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2021-11-11 17:18:06.100 -0600,1,232380.52877225,0.2410125732421875,-0.3932647705078125,-0.8231964111328125
2021-11-11 17:18:06.103 -0600,2,232380.53879925,0.239776611328125,-0.387969970703125,-0.8201446533203125
2021-11-11 17:18:06.103 -0600,3,232380.54882625,0.23187255859375,-0.389007568359375,-0.823974609375
2021-11-11 17:18:06.103 -0600,4,232380.55885425,0.2222442626953125,-0.3962860107421875,-0.8283843994140625
2021-11-11 17:18:06.111 -0600,5,232380.56888125,0.2094268798828125,-0.4221343994140625,-0.854217529296875
2021-11-11 17:18:06.121 -0600,6,232380.57890925,0.20556640625,-0.447235107421875,-0.874237060546875
2021-11-11 17:18:06.131 -0600,7,232380.58893625,0.21539306640625,-0.46563720703125,-0.8875732421875
2021-11-11 17:18:06.141 -0600,8,232380.59896325,0.2289886474609375,-0.4681549072265625,-0.89752197265625
2021-11-11 17:18:06.151 -0600,9,232380.60899125,0.2354736328125,-0.4429779052734375,-0.9014739990234375
2021-11-11 17:18:06.161 -0600,10,232380.61901825,0.2577972412109375,-0.4167633056640625,-0.895294189453125
2021-11-11 17:18:06.171 -0600,11,232380.62904625,0.26995849609375,-0.3935699462890625,-0.8860321044921875
2021-11-11 17:18:06.181 -0600,12,232380.63907325,0.2659912109375,-0.3721923828125,-0.8792877197265625
2021-11-11 17:18:06.191 -0600,13,232380.64910025,0.256927490234375,-0.3580169677734375,-0.8718109130859375
2021-11-11 17:18:06.201 -0600,14,232380.65912825,0.2492523193359375,-0.365020751953125,-0.878387451171875
2021-11-11 17:18:06.211 -0600,15,232380.66915525,0.243011474609375,-0.3825531005859375,-0.8801727294921875
2021-11-11 17:18:06.226 -0600,16,232380.67918325,0.22967529296875,-0.404205322265625,-0.8831634521484375
2021-11-11 17:18:06.231 -0600,17,232380.68921025,0.2206268310546875,-0.4219207763671875,-0.891082763671875
2021-11-11 17:18:06.241 -0600,18,232380.69923825,0.2195281982421875,-0.4277496337890625,-0.899139404296875
2021-11-11 17:18:06.251 -0600,19,232380.70926525,0.2232818603515625,-0.4285125732421875,-0.9072418212890625
2021-11-11 17:18:06.261 -0600,20,232380.71929225,0.2249298095703125,-0.4252777099609375,-0.9093475341796875
2021-11-11 17:18:06.271 -0600,21,232380.72932025,0.2258148193359375,-0.4214630126953125,-0.902618408203125
2021-11-11 17:18:06.281 -0600,22,232380.73934725,0.222320556640625,-0.418212890625,-0.894439697265625
2021-11-11 17:18:06.291 -0600,23,232380.74937525,0.225555419921875,-0.4123687744140625,-0.896270751953125
2021-11-11 17:18:06.302 -0600,24,232380.75940225,0.248077392578125,-0.405029296875,-0.90155029296875
2021-11-11 17:18:06.311 -0600,25,232380.76942925,0.2256622314453125,-0.407623291015625,-0.8925323486328125
2021-11-11 17:18:06.321 -0600,26,232380.77945725,0.2103729248046875,-0.406463623046875,-0.890289306640625
2021-11-11 17:18:06.331 -0600,27,232380.78948425,0.216949462890625,-0.405548095703125,-0.89642333984375
2021-11-11 17:18:06.346 -0600,28,232380.79951225,0.2158050537109375,-0.4078216552734375,-0.90045166015625
2021-11-11 17:18:06.352 -0600,29,232380.80953925,0.2116241455078125,-0.408599853515625,-0.899749755859375
2021-11-11 17:18:06.361 -0600,30,232380.81956625,0.20880126953125,-0.40924072265625,-0.89691162109375
2021-11-11 17:18:06.371 -0600,31,232380.82959425,0.211212158203125,-0.402130126953125,-0.8880767822265625
2021-11-11 17:18:06.382 -0600,32,232380.83962125,0.212738037109375,-0.3934783935546875,-0.8843536376953125
2021-11-11 17:18:06.391 -0600,33,232380.84964925,0.2123565673828125,-0.389068603515625,-0.8901519775390625
2021-11-11 17:18:06.406 -0600,34,232380.85967625,0.2125091552734375,-0.3846893310546875,-0.886016845703125
