loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2021-11-11 17:20:35.601 -0600,1,232530.04756025,0.0993804931640625,-0.3802490234375,-0.8919677734375
2021-11-11 17:20:35.601 -0600,2,232530.05758725,0.0697479248046875,-0.3560333251953125,-0.8577423095703125
2021-11-11 17:20:35.615 -0600,3,232530.06761525,0.06951904296875,-0.334625244140625,-0.9049072265625
2021-11-11 17:20:35.615 -0600,4,232530.07764325,0.0732879638671875,-0.319122314453125,-0.982208251953125
2021-11-11 17:20:35.625 -0600,5,232530.08767025,0.062469482421875,-0.3310699462890625,-0.987091064453125
2021-11-11 17:20:35.635 -0600,6,232530.09769825,0.0505828857421875,-0.3420562744140625,-0.9636688232421875
2021-11-11 17:20:35.645 -0600,7,232530.10772625,0.062591552734375,-0.3556365966796875,-0.9531097412109375
2021-11-11 17:20:35.655 -0600,8,232530.11775325,0.0875701904296875,-0.3618316650390625,-0.950225830078125
2021-11-11 17:20:35.665 -0600,9,232530.12778125,0.107666015625,-0.35369873046875,-0.9331817626953125
2021-11-11 17:20:35.675 -0600,10,232530.13780925,0.1140594482421875,-0.3332977294921875,-0.904754638671875
2021-11-11 17:20:35.687 -0600,11,232530.14783625,0.1121978759765625,-0.3197784423828125,-0.890838623046875
2021-11-11 17:20:35.695 -0600,12,232530.15786425,0.11334228515625,-0.3309478759765625,-0.9116973876953125
2021-11-11 17:20:35.705 -0600,13,232530.1678915,0.1101226806640625,-0.352508544921875,-0.9326324462890625
2021-11-11 17:20:35.715 -0600,14,232530.1779185,0.0974884033203125,-0.37603759765625,-0.928466796875
2021-11-11 17:20:35.726 -0600,15,232530.1879465,0.098297119140625,-0.3972320556640625,-0.921905517578125
2021-11-11 17:20:35.736 -0600,16,232530.1979745,0.1024017333984375,-0.4020843505859375,-0.9277191162109375
2021-11-11 17:20:35.746 -0600,17,232530.2080015,0.1063079833984375,-0.3980865478515625,-0.9344482421875
2021-11-11 17:20:35.756 -0600,18,232530.2180295,0.106109619140625,-0.391021728515625,-0.9329376220703125
2021-11-11 17:20:35.766 -0600,19,232530.2280575,0.10614013671875,-0.3845672607421875,-0.9283905029296875
2021-11-11 17:20:35.776 -0600,20,232530.2380845,0.1124114990234375,-0.3818511962890625,-0.9219207763671875
2021-11-11 17:20:35.786 -0600,21,232530.2481125,0.1232147216796875,-0.3784637451171875,-0.9282989501953125
2021-11-11 17:20:35.796 -0600,22,232530.2581405,0.12200927734375,-0.3748779296875,-0.9331817626953125
2021-11-11 17:20:35.807 -0600,23,232530.2681675,0.1159820556640625,-0.376373291015625,-0.9375457763671875
2021-11-11 17:20:35.816 -0600,24,232530.2781955,0.1090240478515625,-0.3739013671875,-0.9404449462890625
2021-11-11 17:20:35.826 -0600,25,232530.2882235,0.109283447265625,-0.3697509765625,-0.9476776123046875
2021-11-11 17:20:35.836 -0600,26,232530.2982505,0.1031341552734375,-0.3701324462890625,-0.943389892578125
2021-11-11 17:20:35.846 -0600,27,232530.3082785,0.090087890625,-0.3690643310546875,-0.9367523193359375
2021-11-11 17:20:35.856 -0600,28,232530.3183065,0.0939483642578125,-0.367431640625,-0.9403533935546875
2021-11-11 17:20:35.866 -0600,29,232530.3283335,0.08563232421875,-0.363983154296875,-0.9282989501953125
2021-11-11 17:20:35.876 -0600,30,232530.3383615,0.0892791748046875,-0.3578033447265625,-0.9267425537109375
2021-11-11 17:20:35.886 -0600,31,232530.3483895,0.080780029296875,-0.3574371337890625,-0.917236328125
2021-11-11 17:20:35.896 -0600,32,232530.3584165,0.0868988037109375,-0.3560028076171875,-0.9186248779296875
2021-11-11 17:20:35.906 -0600,33,232530.3684445,0.0868682861328125,-0.3672332763671875,-0.9146270751953125
2021-11-11 17:20:35.916 -0600,34,232530.3784725,0.0819549560546875,-0.37255859375,-0.9137420654296875
2021-11-11 17:20:35.926 -0600,35,232530.3884995,0.0791778564453125,-0.3721466064453125,-0.90966796875
2021-11-11 17:20:35.936 -0600,36,232530.3985275,0.0818023681640625,-0.3646240234375,-0.9051513671875
2021-11-11 17:20:35.946 -0600,37,232530.4085555,0.0844573974609375,-0.3600616455078125,-0.9073638916015625
2021-11-11 17:20:35.956 -0600,38,232530.4185825,0.0829620361328125,-0.3607940673828125,-0.907928466796875
2021-11-11 17:20:35.966 -0600,39,232530.4286105,0.08575439453125,-0.3594512939453125,-0.9038848876953125
2021-11-11 17:20:35.976 -0600,40,232530.4386385,0.087066650390625,-0.357177734375,-0.898956298828125
2021-11-11 17:20:35.987 -0600,41,232530.4486655,0.079498291015625,-0.35821533203125,-0.8969879150390625
2021-11-11 17:20:35.996 -0600,42,232530.4586935,0.0790252685546875,-0.3559417724609375,-0.90740966796875
2021-11-11 17:20:36.006 -0600,43,232530.4687215,0.0771331787109375,-0.359649658203125,-0.8846435546875
2021-11-11 17:20:36.016 -0600,44,232530.4787485,0.0670013427734375,-0.3691864013671875,-0.8963623046875
2021-11-11 17:20:36.026 -0600,45,232530.4887765,0.0781097412109375,-0.3681488037109375,-0.8974609375
2021-11-11 17:20:36.036 -0600,46,232530.4988045,0.0733184814453125,-0.3703155517578125,-0.890411376953125
2021-11-11 17:20:36.046 -0600,47,232530.5088315,0.071929931640625,-0.36553955078125,-0.8886871337890625
2021-11-11 17:20:36.057 -0600,48,232530.5188595,0.073333740234375,-0.367218017578125,-0.9001617431640625
