loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
01:20.5,5637,242174.8005,-0.153762817,0.986038208,0.063858032
01:20.5,5638,242174.8105,-0.153839111,0.984420776,0.062149048
01:20.5,5639,242174.8205,-0.151443481,0.983139038,0.061752319
01:20.5,5640,242174.8305,-0.150482178,0.983688354,0.062301636
01:20.6,5641,242174.8405,-0.149291992,0.985900879,0.063659668
01:20.6,5642,242174.8505,-0.149124146,0.988418579,0.062271118
01:20.6,5643,242174.8605,-0.149475098,0.988128662,0.062225342
01:20.6,5644,242174.8705,-0.149871826,0.98777771,0.061767578
01:20.6,5645,242174.8805,-0.149963379,0.987731934,0.059829712
01:20.6,5646,242174.8905,-0.150161743,0.988494873,0.059432983
01:20.6,5647,242174.9006,-0.150985718,0.987625122,0.059539795
01:20.6,5648,242174.9106,-0.151046753,0.985870361,0.058837891
01:20.6,5649,242174.9206,-0.150390625,0.98651123,0.058410645
01:20.7,5650,242174.9306,-0.148803711,0.986282349,0.059234619
01:20.7,5651,242174.9406,-0.148590088,0.985458374,0.061599731
01:20.7,5652,242174.9506,-0.1484375,0.985443115,0.062454224
01:20.7,5653,242174.9606,-0.147293091,0.98638916,0.06137085
01:20.7,5654,242174.9706,-0.146743774,0.985580444,0.059036255
01:20.7,5655,242174.9806,-0.146484375,0.985351563,0.059036255
01:20.7,5656,242174.9906,-0.146972656,0.984176636,0.058914185
01:20.7,5657,242175.0006,-0.147369385,0.986312866,0.059783936
01:20.7,5658,242175.0107,-0.146881104,0.9868927,0.059921265
01:20.7,5659,242175.0207,-0.14730835,0.986236572,0.058944702
01:20.7,5660,242175.0307,-0.147537231,0.985473633,0.058273315
01:20.8,5661,242175.0407,-0.147521973,0.985107422,0.057052612
01:20.8,5662,242175.0507,-0.147369385,0.984710693,0.05569458
01:20.8,5663,242175.0607,-0.147781372,0.984161377,0.056518555
01:20.8,5664,242175.0707,-0.146713257,0.983093262,0.057998657
01:20.8,5665,242175.0807,-0.146255493,0.98487854,0.059158325
01:20.8,5666,242175.0907,-0.145690918,0.98626709,0.05682373
01:20.8,5667,242175.1007,-0.145050049,0.987258911,0.054855347
01:20.8,5668,242175.1107,-0.144973755,0.988189697,0.054550171
01:20.8,5669,242175.1208,-0.145492554,0.989929199,0.054733276
01:20.8,5670,242175.1308,-0.145263672,0.990722656,0.054214478
01:20.9,5671,242175.1408,-0.145568848,0.990463257,0.054107666
01:20.9,5672,242175.1508,-0.147659302,0.98828125,0.054107666
01:20.9,5673,242175.1608,-0.149429321,0.988464355,0.055221558
01:20.9,5674,242175.1708,-0.149856567,0.989685059,0.056640625
01:20.9,5675,242175.1808,-0.150650024,0.989349365,0.058700562
01:20.9,5676,242175.1908,-0.151809692,0.987442017,0.058700562
01:20.9,5677,242175.2008,-0.152160645,0.986053467,0.059661865
01:20.9,5678,242175.2108,-0.153106689,0.98614502,0.060134888
01:20.9,5679,242175.2208,-0.152282715,0.98739624,0.059524536
01:20.9,5680,242175.2308,-0.152160645,0.98878479,0.058532715
01:21.0,5681,242175.2409,-0.151733398,0.989624023,0.060638428
01:21.0,5682,242175.2509,-0.15071106,0.987960815,0.060943604
01:21.0,5683,242175.2609,-0.150848389,0.985610962,0.062133789
01:21.0,5684,242175.2709,-0.152008057,0.98324585,0.061889648
01:21.0,5685,242175.2809,-0.152114868,0.981521606,0.060699463
01:21.0,5686,242175.2909,-0.150878906,0.981674194,0.059265137
01:21.0,5687,242175.3009,-0.15057373,0.984466553,0.057723999
01:21.0,5688,242175.3109,-0.147720337,0.985061646,0.058181763
01:21.0,5689,242175.3209,-0.145095825,0.985961914,0.058441162
01:21.0,5690,242175.3309,-0.144287109,0.9871521,0.058868408
01:21.1,5691,242175.3409,-0.144973755,0.987762451,0.05796814
01:21.1,5692,242175.351,-0.144592285,0.987091064,0.056396484
