loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2021-11-09 15:14:15.020 -0600,3252,52151.64848354167,0.7904510498046875,0.064605712890625,-0.6122894287109375
2021-11-09 15:14:15.030 -0600,3253,52151.65851054167,0.7930145263671875,0.0642242431640625,-0.6119842529296875
2021-11-09 15:14:15.040 -0600,3254,52151.66853854167,0.7918548583984375,0.06231689453125,-0.61334228515625
2021-11-09 15:14:15.050 -0600,3255,52151.67856654167,0.791412353515625,0.060882568359375,-0.61334228515625
2021-11-09 15:14:15.060 -0600,3256,52151.68859454167,0.7907257080078125,0.0596771240234375,-0.61309814453125
2021-11-09 15:14:15.070 -0600,3257,52151.69862254167,0.7885284423828125,0.05877685546875,-0.61236572265625
2021-11-09 15:14:15.085 -0600,3258,52151.70864954167,0.7883758544921875,0.0580596923828125,-0.611968994140625
2021-11-09 15:14:15.090 -0600,3259,52151.71867754167,0.7885284423828125,0.0555877685546875,-0.611358642578125
2021-11-09 15:14:15.101 -0600,3260,52151.72870554167,0.787628173828125,0.0545654296875,-0.6102142333984375
2021-11-09 15:14:15.110 -0600,3261,52151.73873354167,0.7883453369140625,0.054718017578125,-0.6111602783203125
2021-11-09 15:14:15.121 -0600,3262,52151.74876054167,0.789031982421875,0.05535888671875,-0.6121826171875
2021-11-09 15:14:15.131 -0600,3263,52151.75878854167,0.788238525390625,0.0540771484375,-0.6118011474609375
2021-11-09 15:14:15.144 -0600,3264,52151.76881654167,0.788299560546875,0.053375244140625,-0.612762451171875
2021-11-09 15:14:15.151 -0600,3265,52151.77884454167,0.788665771484375,0.05303955078125,-0.613189697265625
2021-11-09 15:14:15.161 -0600,3266,52151.78887254167,0.788909912109375,0.0524444580078125,-0.613037109375
2021-11-09 15:14:15.171 -0600,3267,52151.79889954167,0.7877960205078125,0.052734375,-0.61212158203125
2021-11-09 15:14:15.181 -0600,3268,52151.80892754167,0.78802490234375,0.0527801513671875,-0.61285400390625
2021-11-09 15:14:15.191 -0600,3269,52151.81895554167,0.7873382568359375,0.050994873046875,-0.6127166748046875
2021-11-09 15:14:15.205 -0600,3270,52151.82898354167,0.788299560546875,0.053070068359375,-0.613250732421875
2021-11-09 15:14:15.211 -0600,3271,52151.83901054167,0.7876129150390625,0.05462646484375,-0.6137847900390625
2021-11-09 15:14:15.221 -0600,3272,52151.84903854167,0.7871246337890625,0.0540008544921875,-0.6134796142578125
2021-11-09 15:14:15.231 -0600,3273,52151.85906654167,0.7871246337890625,0.0536346435546875,-0.614349365234375
2021-11-09 15:14:15.241 -0600,3274,52151.86909454167,0.788604736328125,0.0550994873046875,-0.6152496337890625
2021-11-09 15:14:15.251 -0600,3275,52151.87912154167,0.7867889404296875,0.0570526123046875,-0.6138458251953125
2021-11-09 15:14:15.264 -0600,3276,52151.88914954167,0.78509521484375,0.0575103759765625,-0.6144866943359375
2021-11-09 15:14:15.271 -0600,3277,52151.89917754167,0.7847747802734375,0.0582275390625,-0.6136932373046875
2021-11-09 15:14:15.281 -0600,3278,52151.90920554167,0.7844696044921875,0.057861328125,-0.6145477294921875
2021-11-09 15:14:15.291 -0600,3279,52151.91923354167,0.7849578857421875,0.058868408203125,-0.6140594482421875
2021-11-09 15:14:15.301 -0600,3280,52151.92926054167,0.786163330078125,0.0587158203125,-0.6134185791015625
2021-11-09 15:14:15.311 -0600,3281,52151.93928854167,0.78582763671875,0.057830810546875,-0.61517333984375
2021-11-09 15:14:15.321 -0600,3282,52151.94931654167,0.78704833984375,0.0584869384765625,-0.61572265625
2021-11-09 15:14:15.331 -0600,3283,52151.95934454167,0.787200927734375,0.0591888427734375,-0.6164703369140625
2021-11-09 15:14:15.341 -0600,3284,52151.96937154167,0.7853546142578125,0.058837890625,-0.616363525390625
2021-11-09 15:14:15.351 -0600,3285,52151.97939954167,0.7848052978515625,0.0585784912109375,-0.6161346435546875
2021-11-09 15:14:15.361 -0600,3286,52151.98942754167,0.7855987548828125,0.058258056640625,-0.615509033203125
2021-11-09 15:14:15.371 -0600,3287,52151.99945554167,0.7863616943359375,0.057830810546875,-0.615997314453125
2021-11-09 15:14:15.383 -0600,3288,52152.00948254167,0.786834716796875,0.0576171875,-0.614349365234375
2021-11-09 15:14:15.391 -0600,3289,52152.01951054167,0.7892913818359375,0.0563201904296875,-0.61480712890625
2021-11-09 15:14:15.401 -0600,3290,52152.02953854167,0.78924560546875,0.056640625,-0.6134185791015625
2021-11-09 15:14:15.411 -0600,3291,52152.03956654167,0.7904205322265625,0.0570220947265625,-0.6121368408203125
2021-11-09 15:14:15.421 -0600,3292,52152.04959454167,0.7894439697265625,0.056488037109375,-0.612579345703125
2021-11-09 15:14:15.431 -0600,3293,52152.05962154167,0.787872314453125,0.056976318359375,-0.6119232177734375
2021-11-09 15:14:15.444 -0600,3294,52152.06964954167,0.787384033203125,0.057403564453125,-0.6124420166015625
2021-11-09 15:14:15.452 -0600,3295,52152.07967754167,0.7855377197265625,0.0570220947265625,-0.6129608154296875
2021-11-09 15:14:15.461 -0600,3296,52152.08970554167,0.78759765625,0.0556640625,-0.6116485595703125
2021-11-09 15:14:15.471 -0600,3297,52152.09973254167,0.7888031005859375,0.0534820556640625,-0.6105804443359375
2021-11-09 15:14:15.481 -0600,3298,52152.10976054167,0.7903900146484375,0.051483154296875,-0.6106719970703125
2021-11-09 15:14:15.491 -0600,3299,52152.11978854167,0.7910308837890625,0.0513916015625,-0.61053466796875
2021-11-09 15:14:15.502 -0600,3300,52152.12981654167,0.7895965576171875,0.05133056640625,-0.60992431640625
2021-11-09 15:14:15.511 -0600,3301,52152.13984454167,0.790008544921875,0.052459716796875,-0.6110687255859375
2021-11-09 15:14:15.521 -0600,3302,52152.14987154167,0.7900543212890625,0.05303955078125,-0.6136474609375
2021-11-09 15:14:15.531 -0600,3303,52152.15989954167,0.7905731201171875,0.0536651611328125,-0.61328125
2021-11-09 15:14:15.542 -0600,3304,52152.16992754167,0.7888641357421875,0.0539703369140625,-0.61236572265625
