loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
52:09.9,1,47226.64622,0.000717163,-0.002944946,-0.993988037
52:09.9,2,47226.65625,0.000686646,-0.002624512,-0.991775513
52:09.9,3,47226.66627,0.00138855,-0.003372192,-0.996856689
52:09.9,4,47226.6763,0.00163269,-0.003433228,-0.993026733
52:09.9,5,47226.68633,0.000320435,-0.003707886,-0.995880127
52:09.9,6,47226.69636,0.001083374,-0.001663208,-0.992645264
52:09.9,7,47226.70639,0.000762939,-0.0025177,-0.993286133
52:09.9,8,47226.71642,0.000457764,-0.002319336,-0.995437622
52:09.9,9,47226.72644,0.000366211,-0.002868652,-0.99395752
52:09.9,10,47226.73647,0.000717163,-0.002883911,-0.995010376
52:09.9,11,47226.7465,-0.000488281,-0.001205444,-0.994934082
52:10.0,12,47226.75653,-0.000579834,-0.001052856,-0.99571228
52:10.0,13,47226.76655,-0.000198364,-3.05E-05,-0.993835449
52:10.0,14,47226.77658,-0.00088501,-0.00012207,-0.994934082
52:10.0,15,47226.78661,-0.000198364,-0.000167847,-0.994415283
52:10.0,16,47226.79664,0.000259399,-0.001464844,-0.994216919
52:10.0,17,47226.80667,0.000244141,-0.001647949,-0.994949341
52:10.0,18,47226.8167,-0.000289917,-0.001953125,-0.994094849
52:10.0,19,47226.82672,-0.000411987,-0.00163269,-0.995254517
52:10.0,20,47226.83675,-0.001419067,-0.00239563,-0.995101929
52:10.0,21,47226.84678,-0.000549316,-0.003219604,-0.994247437
52:10.1,22,47226.85681,0.000930786,-0.003311157,-0.993545532
52:10.1,23,47226.86684,0.000213623,-0.004684448,-0.995635986
52:10.1,24,47226.87686,0.000244141,-0.004470825,-0.993621826
52:10.1,25,47226.88689,0.001327515,-0.00289917,-0.995346069
52:10.1,26,47226.89692,0.001327515,-0.002929688,-0.99420166
52:10.1,27,47226.90695,0.000701904,-0.003311157,-0.995040894
52:10.1,28,47226.91698,0.001968384,-0.004302979,-0.995605469
52:10.1,29,47226.92701,0.001174927,-0.003509521,-0.992782593
52:10.1,30,47226.93703,0.000442505,-0.003677368,-0.993164063
52:10.1,31,47226.94706,0.000793457,-0.00227356,-0.994628906
52:10.2,32,47226.95709,0.000244141,-0.002075195,-0.994277954
52:10.2,33,47226.96712,0.000366211,-0.002075195,-0.994171143
52:10.2,34,47226.97715,0.000900269,-0.001861572,-0.996871948
52:10.2,35,47226.98717,-0.00050354,-0.002487183,-0.993377686
52:10.2,36,47226.9972,0.001083374,-0.002120972,-0.993911743
52:10.2,37,47227.00723,0.000549316,-0.001907349,-0.992736816
52:10.2,38,47227.01726,-0.000671387,-0.001419067,-0.994384766
52:10.2,39,47227.02729,-0.000946045,-0.001403809,-0.99407959
52:10.2,40,47227.03732,-0.000518799,-0.001373291,-0.993988037
52:10.2,41,47227.04734,-0.001647949,-0.001907349,-0.993865967
52:10.3,42,47227.05737,-0.000961304,-0.001693726,-0.995849609
52:10.3,43,47227.0674,6.10E-05,-0.002105713,-0.994842529
52:10.3,44,47227.07743,-0.000442505,-0.001403809,-0.993362427
52:10.3,45,47227.08746,-0.000930786,-0.001739502,-0.993331909
52:10.3,46,47227.09748,0.00038147,-0.002578735,-0.994750977
52:10.3,47,47227.10751,0.000183105,-0.003662109,-0.992965698
52:10.3,48,47227.11754,0.000961304,-0.003494263,-0.995498657
52:10.3,49,47227.12757,0.001052856,-0.003631592,-0.995864868
52:10.3,50,47227.1376,0.000976563,-0.003677368,-0.994506836
52:10.3,51,47227.14762,0.001235962,-0.003494263,-0.996185303
52:10.4,52,47227.15765,0.001724243,-0.003234863,-0.991958618
52:10.4,53,47227.16768,0.001708984,-0.003417969,-0.993713379
52:10.4,54,47227.17771,0.001556396,-0.003479004,-0.996063232
52:10.4,55,47227.18774,0.001373291,-0.003143311,-0.993041992
52:10.4,56,47227.19777,0.002182007,-0.002868652,-0.996231079
52:10.4,57,47227.20779,0.000854492,-0.002044678,-0.994110107
52:10.4,58,47227.21782,0.000579834,-0.003189087,-0.994415283
52:10.4,59,47227.22785,0.000518799,-0.003189087,-0.993865967
52:10.4,60,47227.23788,-9.16E-05,-0.002487183,-0.993728638
52:10.4,61,47227.24791,0.000457764,-0.002609253,-0.994644165
52:10.5,62,47227.25793,1.53E-05,-0.002838135,-0.993804932
52:10.5,63,47227.26796,-0.00062561,-0.001419067,-0.995819092
52:10.5,64,47227.27799,-0.00088501,-0.000991821,-0.993392944
52:10.5,65,47227.28802,-0.000549316,-0.00100708,-0.996246338
52:10.5,66,47227.29805,-0.00112915,-0.001480103,-0.994354248
52:10.5,67,47227.30808,-0.000961304,-0.001724243,-0.995452881
52:10.5,68,47227.3181,-0.000274658,-0.000930786,-0.993240356
52:10.5,69,47227.32813,-0.000427246,-0.00138855,-0.9949646
52:10.5,70,47227.33816,0.00088501,-0.001846313,-0.992279053
52:10.5,71,47227.34819,0.00088501,-0.002746582,-0.995483398
52:10.6,72,47227.35822,0.000671387,-0.002807617,-0.995193481
52:10.6,73,47227.36824,0.001068115,-0.003479004,-0.995162964
52:10.6,74,47227.37827,0.001403809,-0.003158569,-0.99597168
52:10.6,75,47227.3883,0.000991821,-0.00378418,-0.992126465
52:10.6,76,47227.39833,0.001113892,-0.004806519,-0.996307373
52:10.6,77,47227.40836,0.001403809,-0.003219604,-0.994567871
52:10.6,78,47227.41839,0.001235962,-0.003479004,-0.993621826
52:10.6,79,47227.42841,0.001800537,-0.003509521,-0.995452881
52:10.6,80,47227.43844,0.000793457,-0.003433228,-0.994277954
52:10.6,81,47227.44847,0.00050354,-0.002807617,-0.994247437
52:10.7,82,47227.4585,7.63E-05,-0.003692627,-0.994369507
52:10.7,83,47227.46853,-0.000167847,-0.003631592,-0.994689941
52:10.7,84,47227.47855,-4.58E-05,-0.003387451,-0.993499756
52:10.7,85,47227.48858,-0.000106812,-0.002883911,-0.995697021
52:10.7,86,47227.49861,-0.001266479,-0.002883911,-0.992355347
52:10.7,87,47227.50864,-0.000839233,-0.002593994,-0.995849609
52:10.7,88,47227.51867,-0.00088501,-0.001434326,-0.995437622
52:10.7,89,47227.5287,-0.000488281,-0.002197266,-0.995452881
52:10.7,90,47227.53872,-0.000442505,-0.001541138,-0.993377686
52:10.7,91,47227.54875,-0.000442505,-0.001419067,-0.994262695
52:10.8,92,47227.55878,4.58E-05,-0.001052856,-0.994827271
52:10.8,93,47227.56881,-0.000289917,-0.001281738,-0.993881226
52:10.8,94,47227.57884,0.000213623,-0.002090454,-0.996017456
52:10.8,95,47227.58886,-0.000457764,-0.001281738,-0.992797852
52:10.8,96,47227.59889,9.16E-05,-0.002410889,-0.996871948
52:10.8,97,47227.60892,0,-0.003051758,-0.994598389
52:10.8,98,47227.61895,0.000930786,-0.003540039,-0.99407959
52:10.8,99,47227.62898,1.53E-05,-0.003204346,-0.993911743
52:10.8,100,47227.639,-1.53E-05,-0.003601074,-0.994628906
52:10.8,101,47227.64903,0.00038147,-0.003707886,-0.993041992
52:10.9,102,47227.65906,0.001647949,-0.003707886,-0.996109009
52:10.9,103,47227.66909,0.001068115,-0.003601074,-0.995162964
52:10.9,104,47227.67912,0.001251221,-0.002838135,-0.993789673
52:10.9,105,47227.68915,0.00112915,-0.002639771,-0.995483398
52:10.9,106,47227.69917,0.000579834,-0.003540039,-0.993621826
52:10.9,107,47227.7092,0.000869751,-0.003936768,-0.994995117
52:10.9,108,47227.71923,0.000976563,-0.003173828,-0.994995117
52:10.9,109,47227.72926,0.000152588,-0.002334595,-0.99407959
52:10.9,110,47227.73929,7.63E-05,-0.003677368,-0.99546814
52:10.9,111,47227.74931,-0.000228882,-0.001998901,-0.994888306
52:11.0,112,47227.75934,-0.000137329,-0.002502441,-0.994827271
52:11.0,113,47227.76937,0.00012207,-0.00239563,-0.994400024
52:11.0,114,47227.7794,0.000152588,-0.002822876,-0.995391846
52:11.0,115,47227.78943,0.000274658,-0.002471924,-0.994049072
52:11.0,116,47227.79946,3.05E-05,-0.001220703,-0.99546814
52:11.0,117,47227.80948,-0.000549316,-0.001342773,-0.995452881
52:11.0,118,47227.81951,-6.10E-05,-0.001358032,-0.995040894
52:11.0,119,47227.82954,0.000823975,-0.001098633,-0.995681763
